UF Inventory Number,Type,Manufacturer,Model,Description,Serial Number,Location,Room,Manual,Last Calibrated,Calibration Doc,Calibration Expires,OCO Decal No.,Source Grant
,Multifunction DAQ,National Instruments,SCXI-1540,DAQ,C82B63,Weil,112,,,,,,
,Multifunction DAQ,National Instruments,USB-4065,DAQ,EAD3D6,Powell,101,,,,,,
,Multifunction DAQ,National Instruments,USB-6008,DAQ,E1D938,Weil,128,,,,,,
,Multifunction DAQ,National Instruments,USB-6009,DAQ,1382544,Powell,125,,,,,,
,Multifunction DAQ,National Instruments,USB-6210,DAQ,158FB5C,Powell,101,,,,,,
,Multifunction DAQ,National Instruments,USB-6218,"16-Bit, 250 kS/s Isolated M Series MIO DAQ (Bus Powered)",E8F2C9,Powell,101,,,,,,
,Multifunction DAQ,National Instruments,USB-6218,"16-Bit, 250 kS/s Isolated M Series MIO DAQ (Bus Powered)",1895724,Powell,101,,,,,,
,Multifunction DAQ,National Instruments,USB-6218,"16-Bit, 250 kS/s Isolated M Series MIO DAQ (Bus Powered)",12E6616,Powell,101,,,,,,
,Multifunction DAQ,National Instruments,USB-6218,"16-Bit, 250 kS/s Isolated M Series MIO DAQ (Bus Powered)",12E65EB,Powell,101,,,,,,
,Multifunction DAQ,National Instruments,USB-6218,"16-Bit, 250 kS/s Isolated M Series MIO DAQ (Bus Powered)",12F1CDF,Powell,101,,,,,,
,Multifunction DAQ,National Instruments,USB-6218,"16-Bit, 250 kS/s Isolated M Series MIO DAQ (Bus Powered)",,Powell,T3,,,,,,
,Multifunction DAQ,National Instruments,USB-6218,"16-Bit, 250 kS/s Isolated M Series MIO DAQ (Bus Powered)",1895742,Powell,101,,,,,,
,Multifunction DAQ,National Instruments,USB-6218,"16-Bit, 250 kS/s Isolated M Series MIO DAQ (Bus Powered)",1367934,Powell,101,,,,,,
,Multifunction DAQ,National Instruments,USB-6225,"16-Bit, 250 kS/s M Series Multifunction DAQ (Externally Powered)",1655C9C,Powell,100,,,,,,
,Multifunction DAQ,National Instruments,USB-6225,DAQ Pinout,1402C95,Powell,101,,,,,,
,Multifunction DAQ,National Instruments,USB-6259 194021B-01,DAQ,124BOE1,Powell,101,,,,,,
,Multifunction DAQ,National Instruments,WSN-3212,Data Acquisition WSN,1753ED4,Weil,112,,,,,,
,Multifunction DAQ,National Instruments,WSN-3212,Data Acquisition WSN,1699661,Weil,112,,,,,,
,Multifunction DAQ,National Instruments,WSN-3212,Data Acquisition WSN,16995EC,Weil,112,,,,,,
,Multifunction DAQ,National Instruments,WSN-3212,Data Acquisition WSN,169DAC3,Weil,112,,,,,,
,Multifunction DAQ,National Instruments,WSN-3214,Data Acquisition WSN,1753ED6,Weil,112,,,,,,
,Multifunction DAQ,National Instruments,WSN-3214,Data Acquisition WSN,1699621,Weil,112,,,,,,
,Multifunction DAQ,National Instruments,WSN-3214,Data Acquisition WSN,17DF53B,Weil,112,,,,,,
,Multimeter,Omegaette by Omega,HHM93,Multimeter,0804094,Powell,101,,,,,,
,Multiplexer,Geokon,8032,16 Channel Multiplexer,,Coastal,,X,,,,,
,Oscilloscope,BK Precision,2120B,Dual Trace Oscilloscope,,Powell,100,X,,,,,
,Power Converter,Omega,DMD-465,Power Converter,,Reed,106,X,,,,,
,Power Converter,Omega,DMD-465,Power Converter,,Reed,106,X,,,,,
,Power Converter,Omega,DMD-465,Power Converter,,Reed,106,X,,,,,
,Power Converter,Omega,DMD-465,Power Converter,,Reed,106,X,,,,,
,Power Converter,Omega,DMD-465,Power Converter,,Reed,106,X,,,,,
,Power Converter,Omega,DMD-465,Power Converter,,Reed,106,X,,,,,
,Power Supply,"Campbell Scientific, Inc.",PS12,Power Supply,,Coastal,,,,,,,
,Power Supply,National Instruments,PS-15,Power Supply,10947230,Powell,101,X,,,,,
,Power Supply,National Instruments,PS-15,Power Supply,10947524,Powell,T2,X,,,,,
,Power Supply,National Instruments,PS-15,Power Supply,,Powell,T5,X,,,,,
,Power Supply,National Instruments,PS-15,Power Supply,,Powell,T1,X,,,,,
,Power Supply,Omega,P55-10,Power Supply,,Reed,106,,,,,,
,Power Supply,Omega Engineering Inc.,DMD-465,Power Supply,,Weil,128,X,,,,,
,Power Supply,Omega Engineering Inc.,OM2-8608-115AC,Dual Power Supply,28694,Powell,101,X,,,,,
,Power Supply,Protek,PUP 110-14-R1,,133582,Powell,101,,,,,,
,Relay Multiplexer,"Campbell Scientific, Inc.",AM416,Relay Multiplexer,5717,Coastal,,X,,,,,
,Relay Multiplexer,"Campbell Scientific, Inc.",AM416,Relay Multiplexer,5719,Coastal,,X,,,,,
,Relay Multiplexer,"Campbell Scientific, Inc.",AM416,Relay Multiplexer,14145,Coastal,,X,,,,,
,RS-232 Interface,"Campbell Scientific, Inc.",SC32A,Optically Isolated Interface,10656,Coastal,,X,,,,,
,Serial Hub,Moxa,uPort 1450,Serial Hub,TAAK01064737,Powell,T3,,,,,,
,Serial Hub,Moxa,uPort 1650-8,Serial Hub,TAAD01043433,Powell,T3,,,,,,
000000290319,Servo Controller,National Instruments,UMI-7774,Universal Motion Interface Servo Controller,185DBE6,Powell,101,,,,,,
,Signal Conditioner,ATI Industrial Automation,FTIFPS1,Signal Conditioner for 6-axes Load Cell FT12178,1153YPE027,Powell,101,,,,,,
,Signal Conditioner,ATI Industrial Automation,FTIFPS1,Signal Conditioner for 6-axes Load Cell FT12179,1204YPE000,Powell,101,,,,,,
,Signal Conditioner,ATI Industrial Automation,FTIFPS1,Signal Conditioner for 6-axes Load Cell FT12180,1153YPE002,Powell,101,,,,,,
,Signal Conditioner,Endevco,4416B,Isotron Conditioner,AP43,Weil,103,,,,,,
,Signal Conditioner,Transducer Techniques,TMO-2,Signal Conditioner,246724,Weil,112,,,,,,
,Signal Conditioner,Turbulent Flow Instrumentation,DIU2301,Signal Conditioner,TFI982301,Powell,101,,,,,,
,Signal Conditioning,PCB Piezotronics,478B05,Signal Conditioner,00000341,Powell,125,,,,,,
,Signal Conditioning,Physical Acoustics Corporation,2/4/6,Signal Conditioner,2462410601,Weil,112,,,,,,
,Signal Conditioning,Physical Acoustics Corporation,2/4/6,Signal Conditioner,2462414601,Weil,112,,,,,,
,Temperature Data Logger,Omega,OM-CP-TC101A,Temperature Data Logger,P06991,Powell,101,X,,,,,
,Turbulent Flow DAQ,Turbulent Flow Instrumentation,DIU 2105,Turbulent Flow DAQ,TFI 982105,Powell,101,,,,,,
,Wireless Connectivity,Linksys,WRT160NL,Wireless Router,CUR01K105545,Powell,101,,,,,,
,Wireless Connectivity,MicroStrain,2615,Wireless Base Station,1979,Powell,101,,,,,,
,Wireless Connectivity,MicroStrain,2615,Wireless Base Station,1862,Powell,101,,,,,,
,Wireless Connectivity,MicroStrain,2615,Wireless Base Station,2009,Powell,101,,,,,,
,Wireless Connectivity,Verizon,UM150VW,Wireless Internet Adapter,01213158356,Powell,101,,,,,,
,Wireless DAQ,V-Link,I01M6,MicroStrain DAQ,Node: 1139 1212-46,Reed,105,,,,,,
,Wireless DAQ,V-Link,I01NC,MicroStrain DAQ,Node: 1145 1223-24,Reed,105,,,,,,
,Wireless DAQ,V-Link,I01NC,MicroStrain DAQ,Node: 1149 1217-45,Reed,105,,,,,,
,Wireless DAQ,V-Link,I04CS,MicroStrain DAQ,2428-0302,Reed,105,,,,,,
,Wireless DAQ,V-Link,I04CS,MicroStrain DAQ,2420-0305,Reed,105,,,,,,
,Wireless DAQ,V-Link,I04XI,MicroStrain DAQ,2428-0501,Reed,105,,,,,,
,Wireless DAQ,V-Link,I05A3,MicroStrain DAQ,2428-0597,Reed,105,,,,,,
